user,role,resource_type,resource_public_id,resource_title,expected_access,actual_access,status_code,passed
admin@vaultdoc.ru,admin,folder,0d9f8eba-d824-4c50-9c63-69120efa6781,idor-folder-20260512202141,True,True,200,True
admin@vaultdoc.ru,admin,folder,45dd8581-f84c-47a5-9914-97633b5f584b,20_Тестовые_материалы,True,True,200,True
admin@vaultdoc.ru,admin,folder,1161a00d-4720-43ed-88fa-015eefe0aab8,19_Обучение,True,True,200,True
admin@vaultdoc.ru,admin,folder,080bd761-bcb6-41bf-8d17-e13c4951789a,18_Шаблоны,True,True,200,True
admin@vaultdoc.ru,admin,folder,6970e8a2-9e9f-4a43-8cbd-1098edd1d0cf,17_Внутренние_приказы,True,True,200,True
admin@vaultdoc.ru,admin,folder,5b032b08-1799-4b65-b67a-d5c318e00586,15_Аудит,True,True,200,True
admin@vaultdoc.ru,admin,folder,3195792a-be01-4817-960f-f2f88dad20df,14_Инфраструктура,True,True,200,True
admin@vaultdoc.ru,admin,folder,ed8f7677-9dd9-4a30-b349-e78524a7564e,13_Разработка,True,True,200,True
admin@vaultdoc.ru,admin,folder,398c7217-cffe-4811-8e77-6f9d511011a7,12_Финансы,True,True,200,True
admin@vaultdoc.ru,admin,folder,0c479fbc-1316-4d2a-ae85-3329a64edfb0,11_HR,True,True,200,True
admin@vaultdoc.ru,admin,folder,e8676755-8404-40d7-8b67-3c399359af29,10_Служебные_записки,True,True,200,True
admin@vaultdoc.ru,admin,folder,d390757b-cc4d-4fb2-b130-a9d357748999,09_Заявки,True,True,200,True
admin@vaultdoc.ru,admin,folder,4b7d6ebd-5d2e-414e-961c-24870423590e,16_Архив,True,True,200,True
admin@vaultdoc.ru,admin,folder,09141c47-9954-4f15-a42d-5ecd9d96d162,08_Акты,True,True,200,True
admin@vaultdoc.ru,admin,folder,1ece4274-f41c-4d3b-ace6-e85a8b0c7319,07_Договоры,True,True,200,True
admin@vaultdoc.ru,admin,folder,011aae34-5120-4c49-91d0-71ee2c3560d7,06_Техническая_документация,True,True,200,True
admin@vaultdoc.ru,admin,folder,610db1d6-fdf3-45a4-8156-48c200b27261,05_Проектная_документация,True,True,200,True
